,Team,Home Games,Home Total,Home Average,Road Games,Road Average,Overall Games,Overall Average,Year,Save Percentage,Penalty Minutes,Penalty Minutes Against
0,Montreal Canadiens,41,"824,308","20,105",41,"16,013",82,"18,059",2001,.899,1020,1294
1,Detroit Red Wings,41,"819,795","19,995",41,"17,889",82,"18,942",2001,.909,1082,1072
2,Philadelphia Flyers,41,"802,595","19,575",41,"17,182",82,"18,378",2001,.903,1183,1332
3,St Louis Blues,41,"800,319","19,519",41,"16,898",82,"18,209",2001,.899,1345,1366
4,Toronto Maple Leafs,41,"789,567","19,257",41,"17,172",82,"18,215",2001,.908,1430,1243
5,Minnesota North Stars,41,"751,468","18,328",41,"16,192",82,"17,260",2001,.909,1200,1153
6,New York Rangers,41,"746,200","18,200",41,"17,628",82,"17,914",2001,.887,1522,1395
7,Colorado Avalanche,41,"738,287","18,007",41,"17,370",82,"17,688",2001,.907,1138,1185
8,Buffalo Sabres,41,"731,438","17,839",41,"16,168",82,"17,004",2001,.916,1249,1279
9,Ottawa Senators,41,"729,515","17,793",41,"16,312",82,"17,052",2001,.908,1062,1174
10,San Jose Sharks,41,"716,196","17,468",41,"16,101",82,"16,785",2001,.911,1364,1382
11,Columbus Blue Jackets,41,"715,738","17,457",41,"16,002",82,"16,729",2001,.906,1234,1239
12,Vancouver Canucks,41,"698,077","17,026",41,"16,767",82,"16,896",2001,.888,1113,1298
13,Dallas Stars,41,"697,041","17,001",41,"16,348",82,"16,674",2001,.908,1041,1120
14,Calgary Flames,41,"681,535","16,622",41,"16,504",82,"16,563",2001,.894,1376,1564
15,Pittsburgh Penguins,42,"683,655","16,277",42,"17,826",84,"17,051",2001,.893,1585,1542
16,Los Angeles Kings,41,"658,340","16,057",41,"16,576",82,"16,316",2001,.894,1196,1188
17,Nashville Predators,42,"662,226","15,767",42,"15,642",84,"15,704",2001,.915,944,1013
18,New Jersey Devils,41,"641,340","15,642",41,"16,643",82,"16,142",2001,.904,1235,1129
19,Edmonton Oilers,41,"640,085","15,611",41,"16,787",82,"16,199",2001,.896,1287,1283
20,Washington Capitals,41,"636,914","15,534",41,"16,549",82,"16,041",2001,.907,1141,1054
21,Boston Bruins,41,"632,746","15,432",41,"16,462",82,"15,947",2001,.886,1325,1384
22,Chicago Blackhawks,41,"614,875","14,996",41,"16,628",82,"15,812",2001,.888,1001,989
23,Tampa Bay Lightning,41,"611,173","14,906",41,"15,612",82,"15,259",2001,.890,1404,1331
24,Florida Panthers,41,"601,857","14,679",41,"16,260",82,"15,469",2001,.904,1509,1492
25,Phoenix Coyotes,41,"583,194","14,224",41,"16,663",82,"15,443",2001,.913,1337,1034
26,Mighty Ducks of Anaheim,41,"553,470","13,499",41,"16,645",82,"15,072",2001,.899,1136,1042
27,Carolina Hurricanes,41,"547,584","13,355",41,"15,575",82,"14,465",2001,.898,1083,1136
28,New York Islanders,41,"464,627","11,332",41,"16,721",82,"14,026",2001,.887,1339,1205
29,Detroit Red Wings,41,"822,378","20,058",41,"18,190",82,"19,124",2002,.913,1053,1080
30,Montreal Canadiens,41,"821,140","20,027",41,"16,623",82,"18,325",2002,.920,974,1046
31,Philadelphia Flyers,41,"802,337","19,569",41,"17,359",82,"18,464",2002,.910,1242,1293
32,Toronto Maple Leafs,41,"790,457","19,279",41,"17,377",82,"18,328",2002,.899,1212,1285
33,St Louis Blues,41,"777,695","18,968",41,"17,099",82,"18,033",2002,.898,1343,1288
34,Dallas Stars,41,"759,812","18,532",41,"16,851",82,"17,691",2002,.900,959,1092
35,Minnesota North Stars,41,"756,686","18,455",41,"15,879",82,"17,167",2002,.896,1209,1158
