Team,Year,OT Losses,GF,GA,Wins,Losses,Win_rate,Diff
0,Boston Bruins,1990,,299,264,44,24,0.6470588235294118,35
1,Buffalo Sabres,1990,,292,278,31,30,0.5081967213114754,14
2,Calgary Flames,1990,,344,263,46,26,0.6388888888888888,81
3,Chicago Blackhawks,1990,,284,211,49,23,0.6805555555555556,73
4,Detroit Red Wings,1990,,273,298,34,38,0.4722222222222222,-25
5,Edmonton Oilers,1990,,272,272,37,37,0.5,0
6,Hartford Whalers,1990,,238,276,31,38,0.4492753623188406,-38
7,Los Angeles Kings,1990,,340,254,46,24,0.6571428571428571,86
8,Minnesota North Stars,1990,,256,266,27,39,0.4090909090909091,-10
9,Montreal Canadiens,1990,,273,249,39,30,0.5652173913043478,24
10,New Jersey Devils,1990,,272,264,32,33,0.49230769230769234,8
11,New York Islanders,1990,,223,290,25,45,0.35714285714285715,-67
12,New York Rangers,1990,,297,265,36,31,0.5373134328358209,32
13,Philadelphia Flyers,1990,,252,267,33,37,0.4714285714285714,-15
14,Pittsburgh Penguins,1990,,342,305,41,33,0.5540540540540541,37
15,Quebec Nordiques,1990,,236,354,16,50,0.24242424242424243,-118
16,St. Louis Blues,1990,,310,250,47,22,0.6811594202898551,60
17,Toronto Maple Leafs,1990,,241,318,23,46,0.3333333333333333,-77
18,Vancouver Canucks,1990,,243,315,28,43,0.39436619718309857,-72
19,Washington Capitals,1990,,258,258,37,36,0.5068493150684932,0
20,Winnipeg Jets,1990,,260,288,26,43,0.37681159420289856,-28
21,Boston Bruins,1991,,270,275,36,32,0.5294117647058824,-5
22,Buffalo Sabres,1991,,289,299,31,37,0.45588235294117646,-10
23,Calgary Flames,1991,,296,305,31,37,0.45588235294117646,-9
24,Chicago Blackhawks,1991,,257,236,36,29,0.5538461538461539,21
25,Detroit Red Wings,1991,,320,256,43,25,0.6323529411764706,64
26,Edmonton Oilers,1991,,295,297,36,34,0.5142857142857142,-2
27,Hartford Whalers,1991,,247,283,26,41,0.3880597014925373,-36
28,Los Angeles Kings,1991,,287,296,35,31,0.5303030303030303,-9
29,Minnesota North Stars,1991,,246,278,32,42,0.43243243243243246,-32
30,Montreal Canadiens,1991,,267,207,41,28,0.5942028985507246,60
31,New Jersey Devils,1991,,289,259,38,31,0.5507246376811594,30
32,New York Islanders,1991,,291,299,34,35,0.4927536231884058,-8
33,New York Rangers,1991,,321,246,50,25,0.6666666666666666,75
34,Philadelphia Flyers,1991,,252,273,32,37,0.463768115942029,-21
